InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
727097,SKU_1581,Headphones,12,15/05/2024 04:00:00 PM,37.37,31140.0,United States,0.13,Credit Card,19.71,Electronics,In-store,Returned,Royal Mail,Paris,High
755056,SKU_1125,Wireless Mouse,48,29/06/2023 09:00:00 AM,87.52,41398.0,France,0.29,Paypall,13.49,Electronics,In-store,Not Returned,Royal Mail,Paris,Medium
773895,SKU_1943,Notebook,13,22/08/2023 08:00:00 PM,67.6,65553.0,United States,0.01,Bank Transfer,23.57,Stationery,In-store,Not Returned,FedEx,Rome,Low
270182,SKU_1673,Headphones,35,29/03/2020 05:00:00 PM,65.87,79678.0,United States,0.29,Paypall,21.01,Electronics,In-store,Not Returned,DHL,London,Medium
914038,SKU_1961,Headphones,6,13/07/2020 11:00:00 PM,62.96,42679.0,Netherlands,0.39,Paypall,24.69,Electronics,In-store,Not Returned,UPS,Amsterdam,Low
689409,SKU_1904,Wall Clock,36,11/02/2023 05:00:00 PM,54.53,62788.0,Norway,0.13,Credit Card,21.01,Accessories,Online,Not Returned,DHL,Paris,Medium
348053,SKU_1874,Blue Pen,48,18/07/2022 04:00:00 AM,90.66,60316.0,United Kingdom,0.15,Credit Card,27.19,Stationery,In-store,Returned,UPS,Amsterdam,Low
401672,SKU_1355,Wall Clock,29,06/03/2025 02:00:00 AM,48.05,71518.0,Germany,0.03,Paypall,13.06,Accessories,Online,Not Returned,UPS,Berlin,Low
329104,SKU_1029,USB Cable,7,22/04/2020 04:00:00 PM,52.9,31108.0,Portugal,0.33,Bank Transfer,15.56,Electronics,Online,Not Returned,Royal Mail,Amsterdam,High
114679,SKU_1306,Wireless Mouse,17,09/03/2024 06:00:00 PM,64.01,49499.0,Sweden,0.23,Paypall,16.65,Electronics,In-store,Returned,FedEx,Paris,Medium
412166,SKU_1558,Backpack,17,25/04/2024 05:00:00 AM,15.11,91722.0,Netherlands,0.41,Paypall,29.93,Apparel,In-store,Not Returned,UPS,Paris,High
184577,SKU_1244,Office Chair,1,28/10/2020 09:00:00 PM,20.92,10304.0,Italy,0.44,Bank Transfer,12.63,Furniture,Online,Not Returned,DHL,Berlin,High
332172,SKU_1582,Blue Pen,44,17/03/2025 06:00:00 AM,28.42,19808.0,France,0.03,Bank Transfer,16.24,Stationery,Online,Returned,Royal Mail,Berlin,Medium
316396,SKU_1962,White Mug,14,08/11/2024 06:00:00 PM,24.69,16053.0,Germany,0.03,Paypall,14.77,Accessories,In-store,Not Returned,FedEx,Berlin,Medium
938387,SKU_1160,Wireless Mouse,31,13/07/2020 08:00:00 AM,53.29,54615.0,Norway,0.26,Bank Transfer,6.05,Electronics,Online,Not Returned,Royal Mail,Amsterdam,Medium
868776,SKU_1247,T-shirt,7,17/09/2024 02:00:00 PM,78.46,89571.0,Belgium,0.42,Bank Transfer,6.34,Apparel,In-store,Not Returned,Royal Mail,London,High
463682,SKU_1834,Blue Pen,19,23/12/2024 06:00:00 AM,9.34,30256.0,Australia,0.05,Credit Card,28.44,Stationery,In-store,Not Returned,DHL,Amsterdam,High
635244,SKU_1886,White Mug,9,22/10/2021 10:00:00 AM,77.89,26254.0,France,0.1,Paypall,14.0,Accessories,Online,Not Returned,Royal Mail,Berlin,Medium
156690,SKU_1334,Blue Pen,18,25/02/2022 07:00:00 PM,13.77,56202.0,Netherlands,0.23,Paypall,22.61,Stationery,In-store,Not Returned,DHL,Paris,Medium
414223,SKU_1711,T-shirt,9,10/07/2025 01:00:00 PM,52.8,19396.0,France,0.42,Credit Card,19.37,Apparel,Online,Not Returned,Royal Mail,Rome,High
124771,SKU_1041,Wall Clock,35,03/04/2025 04:00:00 AM,71.76,67199.0,United States,0.4,Bank Transfer,18.73,Accessories,Online,Not Returned,UPS,Rome,Low
298763,SKU_1736,Backpack,15,11/12/2020 09:00:00 AM,68.08,92118.0,Italy,0.2,Paypall,19.1,Apparel,Online,Not Returned,Royal Mail,Amsterdam,Low
411146,SKU_1441,Blue Pen,41,27/08/2022 08:00:00 AM,36.5,79052.0,Netherlands,0.18,Bank Transfer,17.68,Stationery,Online,Not Returned,Royal Mail,Paris,Low
214587,SKU_1358,Backpack,26,14/12/2021 10:00:00 AM,59.4,92271.0,Portugal,0.3,Credit Card,11.69,Apparel,In-store,Not Returned,DHL,Amsterdam,Low
652261,SKU_1683,Headphones,45,01/05/2025 04:00:00 AM,18.2,27964.0,Italy,0.0,Paypall,28.88,Electronics,In-store,Not Returned,FedEx,Amsterdam,Medium
704502,SKU_1540,T-shirt,38,24/06/2024 07:00:00 AM,7.9,16867.0,Norway,0.24,Credit Card,10.94,Apparel,Online,Not Returned,UPS,Amsterdam,Medium
457574,SKU_1071,USB Cable,33,22/08/2020 11:00:00 PM,5.13,11302.0,United Kingdom,0.14,Paypall,24.82,Electronics,Online,Not Returned,Royal Mail,London,Low
662345,SKU_1856,Wireless Mouse,20,04/10/2021 01:00:00 AM,81.57,57180.0,Spain,0.04,Paypall,27.31,Electronics,Online,Not Returned,Royal Mail,Amsterdam,Low
151798,SKU_1165,Wireless Mouse,25,06/01/2022 08:00:00 PM,92.76,21236.0,Australia,0.04,Paypall,11.7,Electronics,In-store,Not Returned,FedEx,Amsterdam,Low
303180,SKU_1990,Notebook,40,24/03/2025 11:00:00 AM,52.14,51519.0,Portugal,0.41,Credit Card,26.97,Stationery,Online,Not Returned,DHL,Amsterdam,High
688613,SKU_1305,Headphones,28,22/10/2021 01:00:00 AM,39.26,51641.0,Germany,0.41,Credit Card,6.13,Electronics,In-store,Returned,UPS,Amsterdam,Low
825800,SKU_1004,Backpack,12,06/04/2025 06:00:00 PM,54.12,46503.0,Norway,0.43,Bank Transfer,28.79,Apparel,In-store,Not Returned,UPS,London,Low
119731,SKU_1421,White Mug,15,05/05/2021 12:00:00 AM,69.92,65412.0,Germany,0.37,Bank Transfer,16.19,Accessories,Online,Not Returned,UPS,Amsterdam,Medium
266892,SKU_1989,T-shirt,21,15/06/2020 08:00:00 AM,3.95,94556.0,Portugal,0.33,Paypall,28.43,Apparel,Online,Not Returned,DHL,Paris,High
671054,SKU_1366,Blue Pen,7,08/08/2021 04:00:00 PM,49.19,84281.0,Spain,0.0,Bank Transfer,19.51,Stationery,In-store,Not Returned,Royal Mail,Paris,Low
709026,SKU_1004,Wall Clock,41,04/09/2022 11:00:00 PM,66.15,66751.0,Sweden,0.37,Paypall,9.76,Accessories,In-store,Not Returned,DHL,Rome,High
646900,SKU_1907,Wireless Mouse,19,15/10/2023 09:00:00 PM,96.22,88862.0,United Kingdom,0.48,Credit Card,10.39,Electronics,Online,Not Returned,UPS,Paris,High
513735,SKU_1532,Wall Clock,47,06/08/2025 02:00:00 PM,50.53,71861.0,Norway,0.41,Paypall,12.03,Accessories,In-store,Not Returned,UPS,Berlin,Medium
551040,SKU_1650,T-shirt,28,05/08/2025 07:00:00 PM,12.28,14748.0,Netherlands,0.49,Paypall,11.93,Apparel,Online,Not Returned,DHL,Paris,Medium
197167,SKU_1880,Blue Pen,14,03/10/2024 03:00:00 PM,27.7,86873.0,United States,0.14,Paypall,7.6,Stationery,In-store,Not Returned,UPS,Amsterdam,High
426380,SKU_1465,Wireless Mouse,40,25/12/2024 06:00:00 PM,41.95,75990.0,Netherlands,0.16,Paypall,22.43,Electronics,In-store,Not Returned,UPS,London,Low
714865,SKU_1463,Notebook,36,15/04/2023 02:00:00 PM,48.82,29541.0,Germany,0.1,Bank Transfer,18.47,Stationery,Online,Not Returned,Royal Mail,Berlin,Medium
572374,SKU_1192,USB Cable,3,30/07/2023 07:00:00 PM,21.1,22938.0,Australia,0.25,Paypall,13.08,Electronics,In-store,Not Returned,UPS,Paris,Low
380916,SKU_1857,Desk Lamp,9,20/03/2024 04:00:00 AM,91.2,43876.0,United Kingdom,0.3,Paypall,10.62,Electronics,Online,Returned,Royal Mail,Berlin,Low
328407,SKU_1792,T-shirt,23,20/11/2024 06:00:00 PM,96.2,56839.0,Sweden,0.35,Bank Transfer,13.89,Apparel,Online,Not Returned,FedEx,Berlin,Medium
714653,SKU_1075,Blue Pen,34,03/04/2021 01:00:00 PM,84.6,95788.0,Norway,0.02,Paypall,16.83,Stationery,In-store,Not Returned,UPS,London,High
809380,SKU_1944,T-shirt,31,18/09/2022 06:00:00 PM,15.98,94062.0,United States,0.24,Credit Card,29.23,Apparel,In-store,Not Returned,FedEx,Paris,High
108117,SKU_1407,White Mug,3,30/03/2023 06:00:00 PM,8.5,77507.0,Netherlands,0.33,Bank Transfer,25.13,Accessories,Online,Not Returned,FedEx,London,Low
857874,SKU_1138,Wall Clock,27,25/03/2024 09:00:00 AM,12.02,41857.0,Netherlands,0.34,Paypall,15.86,Accessories,In-store,Not Returned,UPS,Rome,Low
469871,SKU_1268,Wall Clock,5,10/01/2024 04:00:00 AM,54.94,54341.0,Belgium,0.15,Bank Transfer,14.13,Accessories,Online,Not Returned,UPS,Amsterdam,High
899111,SKU_1852,Office Chair,11,02/03/2023 01:00:00 AM,90.63,20808.0,Portugal,0.39,Credit Card,20.69,Furniture,In-store,Not Returned,DHL,Rome,High
521499,SKU_1444,Notebook,40,13/12/2024 02:00:00 PM,48.27,10418.0,Netherlands,0.42,Bank Transfer,20.99,Stationery,Online,Not Returned,FedEx,Rome,Low
845778,SKU_1186,Backpack,5,31/08/2021 08:00:00 PM,36.46,65093.0,Australia,0.46,Bank Transfer,27.15,Apparel,Online,Not Returned,Royal Mail,Amsterdam,High
382533,SKU_1112,Wall Clock,22,19/04/2021 03:00:00 PM,91.34,98927.0,Germany,0.38,Bank Transfer,24.06,Accessories,Online,Not Returned,UPS,Paris,Low
568523,SKU_1287,Desk Lamp,36,04/05/2025 08:00:00 AM,95.93,69402.0,Italy,0.41,Bank Transfer,29.7,Electronics,In-store,Not Returned,FedEx,Amsterdam,Low
857751,SKU_1831,Blue Pen,13,09/08/2025 12:00:00 PM,11.31,60722.0,Italy,0.23,Bank Transfer,22.12,Stationery,In-store,Not Returned,FedEx,London,Medium
174843,SKU_1374,White Mug,41,20/12/2023 08:00:00 AM,84.21,87999.0,Netherlands,0.49,Credit Card,24.78,Accessories,In-store,Not Returned,Royal Mail,Amsterdam,High
749078,SKU_1304,Wireless Mouse,46,17/04/2024 06:00:00 AM,48.1,69684.0,Sweden,0.17,Bank Transfer,13.67,Electronics,Online,Returned,DHL,Paris,Low
603195,SKU_1454,Notebook,26,25/02/2021 01:00:00 PM,32.97,51021.0,Italy,0.2,Paypall,16.79,Stationery,Online,Returned,UPS,Rome,Low
142446,SKU_1571,Wireless Mouse,1,13/02/2025 10:00:00 AM,13.94,56000.0,Spain,0.05,Paypall,19.28,Electronics,In-store,Returned,FedEx,Berlin,Low
577698,SKU_1451,White Mug,26,14/02/2022 03:00:00 AM,75.86,81526.0,Italy,0.2,Credit Card,18.0,Accessories,Online,Not Returned,FedEx,Amsterdam,High
160715,SKU_1177,Headphones,28,28/03/2025 02:00:00 AM,78.37,43235.0,France,0.16,Bank Transfer,9.41,Electronics,In-store,Not Returned,DHL,London,Medium
574773,SKU_1857,Headphones,47,22/05/2025 07:00:00 AM,48.07,42571.0,United States,0.47,Bank Transfer,21.59,Electronics,Online,Not Returned,UPS,Berlin,Medium
587030,SKU_1699,T-shirt,4,04/07/2020 08:00:00 PM,43.38,51017.0,France,0.05,Paypall,29.54,Apparel,In-store,Not Returned,FedEx,Amsterdam,High
440822,SKU_1324,T-shirt,33,12/10/2021 01:00:00 PM,29.4,29321.0,Australia,0.11,Bank Transfer,20.29,Apparel,In-store,Not Returned,FedEx,London,Medium
429457,SKU_1944,Blue Pen,1,26/03/2021 07:00:00 PM,25.54,71168.0,United States,0.35,Credit Card,12.14,Stationery,In-store,Not Returned,Royal Mail,Rome,Medium
780662,SKU_1343,Desk Lamp,31,27/11/2023 05:00:00 PM,73.68,33966.0,Belgium,0.36,Paypall,24.09,Electronics,In-store,Not Returned,UPS,Rome,High
602376,SKU_1846,Wall Clock,4,20/05/2022 04:00:00 PM,33.29,17097.0,Portugal,0.06,Credit Card,20.9,Accessories,Online,Not Returned,FedEx,Rome,Low
692251,SKU_1427,Backpack,31,05/11/2023 10:00:00 PM,86.98,14374.0,Portugal,0.27,Bank Transfer,5.15,Apparel,In-store,Not Returned,DHL,Berlin,Medium
755423,SKU_1439,Wireless Mouse,20,13/02/2024 03:00:00 AM,91.18,56742.0,Portugal,0.37,Bank Transfer,14.3,Electronics,In-store,Not Returned,DHL,Amsterdam,Low
321163,SKU_1372,USB Cable,21,03/03/2022 06:00:00 PM,51.98,69908.0,France,0.38,Credit Card,9.15,Electronics,In-store,Not Returned,FedEx,Berlin,Medium
377098,SKU_1593,Headphones,9,04/07/2023 10:00:00 PM,35.28,33870.0,Spain,0.33,Paypall,20.63,Electronics,Online,Not Returned,Royal Mail,Amsterdam,High
121797,SKU_1290,Desk Lamp,34,24/01/2022 01:00:00 AM,43.46,27390.0,Spain,0.29,Paypall,11.06,Electronics,In-store,Not Returned,FedEx,Rome,Low
881527,SKU_1758,T-shirt,38,08/06/2023 12:00:00 PM,75.52,23984.0,United Kingdom,0.0,Credit Card,11.18,Apparel,Online,Not Returned,DHL,Rome,High
722041,SKU_1866,White Mug,35,16/12/2022 08:00:00 PM,97.6,15190.0,Norway,0.28,Credit Card,21.91,Accessories,In-store,Not Returned,FedEx,Paris,Medium
542113,SKU_1422,Backpack,7,04/02/2022 09:00:00 AM,39.21,53402.0,Norway,0.04,Bank Transfer,27.41,Apparel,In-store,Not Returned,UPS,Paris,High
665222,SKU_1494,T-shirt,31,03/09/2021 12:00:00 AM,32.92,64911.0,Portugal,0.41,Bank Transfer,18.72,Apparel,In-store,Not Returned,UPS,Rome,Low
955339,SKU_1715,Backpack,10,01/07/2025 02:00:00 PM,37.67,70445.0,Norway,0.31,Credit Card,23.21,Apparel,Online,Not Returned,DHL,Paris,High
956466,SKU_1960,Notebook,28,22/04/2024 10:00:00 PM,61.67,85408.0,Norway,0.42,Bank Transfer,15.66,Stationery,Online,Not Returned,FedEx,Paris,Low
321897,SKU_1081,Office Chair,10,16/02/2020 09:00:00 AM,60.71,99062.0,Portugal,0.41,Credit Card,19.31,Furniture,In-store,Not Returned,FedEx,London,High
553008,SKU_1975,Wireless Mouse,47,19/05/2020 12:00:00 AM,81.49,89067.0,Netherlands,0.4,Paypall,26.17,Electronics,Online,Returned,FedEx,London,Medium
989140,SKU_1625,Wall Clock,39,26/01/2025 03:00:00 PM,75.13,14477.0,Norway,0.36,Bank Transfer,12.76,Accessories,In-store,Not Returned,Royal Mail,Rome,Low
482747,SKU_1358,Notebook,23,28/05/2024 05:00:00 AM,64.57,96633.0,Sweden,0.05,Bank Transfer,8.69,Stationery,Online,Not Returned,DHL,Amsterdam,Medium
988368,SKU_1743,Headphones,46,16/11/2023 07:00:00 PM,91.57,19395.0,France,0.05,Bank Transfer,16.06,Electronics,Online,Not Returned,UPS,London,Low
211118,SKU_1531,Wireless Mouse,23,15/08/2022 06:00:00 AM,31.23,68831.0,United States,0.47,Credit Card,23.81,Electronics,In-store,Not Returned,Royal Mail,Berlin,Medium
645734,SKU_1323,USB Cable,32,27/09/2021 03:00:00 AM,71.25,42619.0,France,0.37,Bank Transfer,25.24,Electronics,In-store,Not Returned,FedEx,Rome,Low
922614,SKU_1355,Wall Clock,13,10/01/2022 02:00:00 PM,41.41,94087.0,Spain,0.01,Paypall,20.65,Accessories,In-store,Returned,UPS,London,Low
468266,SKU_1304,Office Chair,13,06/07/2020 02:00:00 AM,18.69,79584.0,Australia,0.44,Credit Card,21.63,Furniture,In-store,Not Returned,DHL,Berlin,High
998332,SKU_1584,Backpack,19,18/08/2020 03:00:00 AM,79.58,56924.0,France,0.46,Bank Transfer,23.85,Apparel,In-store,Not Returned,FedEx,Amsterdam,High
619805,SKU_1136,Backpack,3,09/10/2024 04:00:00 AM,90.48,97080.0,Norway,0.12,Credit Card,19.13,Apparel,In-store,Not Returned,Royal Mail,Amsterdam,Medium
458920,SKU_1182,T-shirt,10,16/01/2024 01:00:00 PM,26.52,61096.0,Norway,0.48,Paypall,18.78,Apparel,Online,Not Returned,UPS,Paris,Low
697768,SKU_1114,Backpack,26,06/11/2022 11:00:00 PM,62.28,62222.0,Norway,0.11,Credit Card,19.13,Apparel,Online,Returned,UPS,Berlin,Medium
270460,SKU_1326,Notebook,36,24/12/2024 01:00:00 AM,95.73,25086.0,Belgium,0.46,Bank Transfer,7.77,Stationery,Online,Not Returned,UPS,Berlin,Medium
233099,SKU_1260,White Mug,27,21/02/2024 06:00:00 PM,37.17,57040.0,Italy,0.42,Credit Card,14.65,Accessories,Online,Not Returned,UPS,Rome,Low
821671,SKU_1203,Blue Pen,8,24/10/2024 11:00:00 PM,18.34,24126.0,Germany,0.17,Credit Card,18.24,Stationery,Online,Not Returned,Royal Mail,London,Medium
778381,SKU_1107,Wall Clock,27,10/03/2022 09:00:00 AM,61.02,42193.0,Australia,0.28,Credit Card,10.73,Accessories,Online,Not Returned,FedEx,Berlin,Medium
473410,SKU_1839,Wall Clock,25,19/03/2021 11:00:00 PM,1.08,11196.0,Portugal,0.18,Credit Card,25.09,Accessories,Online,Not Returned,Royal Mail,Amsterdam,Low
191006,SKU_1990,Blue Pen,28,24/05/2020 11:00:00 PM,76.93,70012.0,Australia,0.2,Paypall,26.16,Stationery,Online,Not Returned,UPS,Amsterdam,High
375236,SKU_1215,Wall Clock,13,04/06/2021 10:00:00 AM,43.06,41006.0,France,0.15,Credit Card,10.22,Accessories,Online,Not Returned,FedEx,Rome,High
811776,SKU_1006,Backpack,27,17/04/2022 06:00:00 PM,30.85,65345.0,Australia,0.3,Paypall,16.34,Apparel,In-store,Not Returned,Royal Mail,London,Low
226419,SKU_1657,Backpack,48,10/11/2022 03:00:00 AM,81.9,75267.0,Italy,0.27,Credit Card,21.8,Apparel,In-store,Not Returned,UPS,Rome,Low
127213,SKU_1491,USB Cable,18,27/05/2021 08:00:00 PM,29.21,51022.0,Belgium,0.41,Credit Card,15.35,Electronics,Online,Not Returned,Royal Mail,Berlin,High
305327,SKU_1789,Notebook,19,26/01/2025 06:00:00 AM,86.1,21142.0,Norway,0.34,Bank Transfer,22.8,Stationery,Online,Not Returned,Royal Mail,Amsterdam,High
462416,SKU_1399,Notebook,18,22/06/2025 06:00:00 AM,54.96,89633.0,Sweden,0.25,Bank Transfer,9.55,Stationery,In-store,Not Returned,DHL,Rome,High
177123,SKU_1763,Backpack,26,28/11/2021 01:00:00 PM,91.81,10120.0,Belgium,0.18,Bank Transfer,10.35,Apparel,Online,Not Returned,Royal Mail,London,Medium
603238,SKU_1911,Office Chair,4,25/03/2020 12:00:00 AM,39.54,30280.0,Australia,0.1,Credit Card,23.84,Furniture,Online,Not Returned,Royal Mail,London,Medium
389142,SKU_1809,Blue Pen,42,27/07/2023 04:00:00 AM,3.3,17636.0,Sweden,0.47,Paypall,12.54,Stationery,In-store,Not Returned,DHL,Berlin,Medium
859591,SKU_1870,T-shirt,23,14/09/2023 09:00:00 AM,71.11,66147.0,United States,0.26,Paypall,18.27,Apparel,Online,Not Returned,DHL,Paris,Low
147003,SKU_1137,Backpack,37,13/10/2021 11:00:00 PM,90.34,53361.0,Belgium,0.34,Bank Transfer,15.3,Apparel,In-store,Not Returned,DHL,London,High
294904,SKU_1342,Desk Lamp,33,29/06/2021 02:00:00 AM,26.93,25019.0,Australia,0.38,Paypall,5.1,Electronics,Online,Not Returned,UPS,Berlin,Medium
230704,SKU_1830,Wall Clock,2,17/04/2022 10:00:00 AM,49.72,57216.0,United States,0.22,Bank Transfer,16.57,Accessories,In-store,Not Returned,UPS,Amsterdam,High
913820,SKU_1107,USB Cable,11,02/12/2020 08:00:00 AM,15.33,44639.0,Spain,0.32,Bank Transfer,27.3,Electronics,Online,Not Returned,DHL,Amsterdam,Low
715534,SKU_1175,Notebook,43,05/02/2023 07:00:00 PM,33.56,66059.0,United Kingdom,0.38,Bank Transfer,10.0,Stationery,Online,Not Returned,Royal Mail,London,High
581530,SKU_1277,USB Cable,9,24/10/2020 11:00:00 AM,82.62,10456.0,Netherlands,0.45,Credit Card,22.78,Electronics,In-store,Not Returned,Royal Mail,Paris,High
663672,SKU_1366,Desk Lamp,45,20/12/2023 12:00:00 PM,42.45,56034.0,Belgium,0.43,Paypall,12.19,Electronics,Online,Not Returned,Royal Mail,London,High
360281,SKU_1477,USB Cable,17,01/09/2023 06:00:00 AM,46.18,80163.0,United Kingdom,0.46,Credit Card,8.15,Electronics,In-store,Not Returned,UPS,Paris,Medium
262590,SKU_1458,Backpack,10,26/12/2023 11:00:00 PM,33.41,30493.0,Italy,0.16,Paypall,27.87,Apparel,In-store,Not Returned,Royal Mail,Rome,Medium
314646,SKU_1600,Wall Clock,38,15/11/2022 07:00:00 AM,62.28,22495.0,United States,0.22,Credit Card,28.06,Accessories,In-store,Not Returned,UPS,Paris,High
316746,SKU_1078,Headphones,13,28/11/2021 04:00:00 AM,34.88,34644.0,Norway,0.33,Paypall,27.53,Electronics,Online,Not Returned,Royal Mail,London,High
128400,SKU_1154,Wireless Mouse,39,18/02/2022 01:00:00 PM,39.4,10514.0,Italy,0.05,Paypall,8.28,Electronics,In-store,Not Returned,FedEx,London,Medium
791295,SKU_1782,T-shirt,10,07/04/2025 01:00:00 AM,94.09,36696.0,United Kingdom,0.08,Credit Card,13.2,Apparel,In-store,Not Returned,Royal Mail,Paris,Low
834750,SKU_1495,T-shirt,29,12/06/2021 04:00:00 PM,90.0,79888.0,United States,0.26,Paypall,21.71,Apparel,Online,Not Returned,Royal Mail,Paris,Low
429705,SKU_1613,Desk Lamp,38,27/07/2024 03:00:00 PM,68.03,12287.0,Germany,0.48,Paypall,18.83,Electronics,In-store,Not Returned,FedEx,Rome,Low
